HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN
1187,True,55-64,Married,75-99K,Homeowner,2 Adults and Kids,5+,3+
1192,False,55-64,Single,75-99K,Homeowner,1 Adult,1,null
1195,True,45-54,Married,35-49K,Homeowner,2 Adults and Kids,5+,3+
1205,False,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
1234,True,45-54,Married,100-150K,Homeowner,2 Adults and Kids,5+,3+
1241,True,55-64,Married,35-49K,Homeowner,2 Adults and Kids,3,1
1245,True,45-54,Married,100-150K,Homeowner,2 Adults and Kids,5+,3+
1251,True,65-74,Married,50-74K,Homeowner,2 Adults,2,null
1261,True,null,null,null,null,null,null,null
1265,True,55-64,Married,150K+,Homeowner,2 Adults and Kids,3,1
1270,True,45-54,Married,35-49K,Homeowner,2 Adults and Kids,5+,3+
1275,True,null,null,null,null,null,null,null
1277,True,55-64,Single,35-49K,Homeowner,1 Adult,1,null
1290,True,65-74,Married,35-49K,Homeowner,2 Adults,2,null
1301,True,45-54,Single,150K+,Renter,1 Adult and Kids,2,1
1308,False,55-64,Single,35-49K,Homeowner,Single Male,1,null
1349,False,45-54,Single,35-49K,Renter,Single Male,1,null
1358,False,45-54,Single,100-150K,Homeowner,1 Adult and Kids,4,3+
1373,True,65-74,Married,UNDER 35K,Homeowner,2 Adults and Kids,3,1
1399,False,25-34,Single,UNDER 35K,Renter,Single Female,1,null
1404,True,45-54,Married,100-150K,Homeowner,2 Adults,2,null
1433,True,null,null,null,null,null,null,null
1437,True,75+,Single,UNDER 35K,Homeowner,1 Adult,1,null
1441,True,35-44,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
1446,True,35-44,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
1448,True,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
1461,True,35-44,Single,50-74K,Homeowner,1 Adult and Kids,5+,3+
1462,True,19-24,Single,50-74K,Renter,1 Adult,1,null
1469,False,75+,null,UNDER 35K,Homeowner,2 Adults,2,null
1470,False,null,null,null,null,null,null,null
1473,True,75+,Married,35-49K,Homeowner,2 Adults and Kids,4,2
1492,True,45-54,Married,35-49K,Renter,2 Adults and Kids,3,1
1495,False,75+,Married,UNDER 35K,Homeowner,2 Adults,2,null
1526,True,55-64,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
1532,True,45-54,Single,100-150K,Homeowner,1 Adult and Kids,null,null
1545,True,null,null,null,null,null,null,null
1554,True,75+,Single,UNDER 35K,Homeowner,1 Adult,1,null
1565,True,35-44,Married,75-99K,Homeowner,2 Adults and Kids,3,1
1567,True,45-54,Single,UNDER 35K,Homeowner,Single Male,1,null
1573,False,45-54,Married,100-150K,Homeowner,2 Adults and Kids,5+,3+
1600,True,null,null,null,null,null,null,null
1618,False,55-64,Married,100-150K,Homeowner,2 Adults,2,null
1631,True,55-64,Single,35-49K,Homeowner,1 Adult and Kids,2,1
1632,False,45-54,Single,150K+,Homeowner,Single Male,1,null
1647,True,null,null,null,null,null,null,null
1652,True,null,null,null,null,null,null,null
1660,True,35-44,Single,100-150K,Renter,Single Female,1,null
1661,True,null,null,null,null,null,null,null
1662,False,65-74,Married,35-49K,Homeowner,2 Adults,2,null
1699,True,45-54,null,150K+,Homeowner,2 Adults,2,null
1709,True,65-74,Married,35-49K,Homeowner,2 Adults and Kids,null,null
1729,True,45-54,Single,75-99K,Renter,1 Adult and Kids,2,1
1747,True,55-64,Married,100-150K,Homeowner,2 Adults,2,null
1748,True,45-54,Married,100-150K,null,2 Adults and Kids,5+,3+
1750,True,45-54,Married,150K+,Homeowner,2 Adults and Kids,3,1
1770,True,65-74,Married,35-49K,Homeowner,2 Adults,2,null
1786,False,35-44,Married,50-74K,Homeowner,2 Adults and Kids,5+,3+
1795,True,35-44,null,35-49K,Homeowner,2 Adults and Kids,5+,3+
1797,False,35-44,Married,50-74K,Homeowner,2 Adults and Kids,3,1
1809,True,null,null,null,null,null,null,null
1836,True,75+,Married,35-49K,Homeowner,2 Adults,2,null
1861,True,35-44,Single,50-74K,Renter,Single Female,1,null
1873,True,45-54,Married,50-74K,Homeowner,2 Adults and Kids,3,1
1885,True,35-44,Married,75-99K,Homeowner,2 Adults and Kids,4,2
1895,True,null,null,null,null,null,null,null
1904,True,25-34,Married,50-74K,Homeowner,2 Adults and Kids,3,1
1914,False,55-64,Single,100-150K,Homeowner,1 Adult,1,null
1916,False,55-64,Single,35-49K,Homeowner,Single Female,1,null
1924,True,55-64,Single,100-150K,Homeowner,1 Adult and Kids,4,3+
1937,True,45-54,Married,75-99K,Homeowner,2 Adults and Kids,3,1
1949,False,null,null,null,null,null,null,null
1963,True,45-54,Married,100-150K,Homeowner,2 Adults and Kids,5+,3+
1990,True,55-64,Married,50-74K,Homeowner,2 Adults and Kids,3,1
